t[min],T_inlet[C],T_outlet[C],w_clothes_ideal+noise[g],w_clothes_ideal+noise[%]
3.666666667,41.05,51.85,612.3301998,2.567872664
3.7,41.3,51.95,611.384841,2.40952111
3.733333333,41.3,51.95,611.7055312,2.463238063
3.766666667,41.45,52.1,613.2663282,2.724678088
3.8,41.65,52.2,612.315321,2.565380408
3.833333333,41.7,52.35,612.5298399,2.601313213
3.866666667,41.9,52.4,611.7637037,2.472982194
3.9,41.85,52.4,611.3860962,2.409731361
3.933333333,41.9,52.5,611.5209426,2.432318693
3.966666667,41.75,52.55,612.8141225,2.648931741
4,41.6,52.75,612.6077645,2.614365907
4.033333333,41.75,52.9,611.8029735,2.479560052
4.066666667,41.9,52.9,612.8358691,2.652574389
4.1,41.8,53.05,612.6679786,2.624452019
4.133333333,41.85,53.05,611.4056206,2.413001768
4.166666667,41.8,53.15,612.8040779,2.647249237
4.2,41.7,53.2,612.062824,2.523086101
4.233333333,41.85,53.25,612.0868932,2.527117785
4.266666667,42.05,53.35,611.0217782,2.348706571
4.3,42.05,53.4,612.7982494,2.64627293
4.333333333,42,53.55,611.2850255,2.392801593
4.366666667,42.05,53.6,611.589692,2.443834498
4.4,42.25,53.75,611.7672794,2.473581144
4.433333333,42.3,53.85,612.377671,2.57582429
4.466666667,42.35,53.95,611.3697833,2.406998882
4.5,42.65,54,611.4424708,2.419174338
4.533333333,42.55,54,612.7471224,2.63770894
4.566666667,42.45,54.15,612.2156378,2.548683044
4.6,42.45,54.2,611.9636964,2.506481815
4.633333333,42.55,54.25,612.0282976,2.517302779
4.666666667,42.7,54.35,612.9671878,2.674570816
4.7,42.6,54.5,612.1092435,2.530861559
4.733333333,42.75,54.5,613.043589,2.687368349
4.766666667,42.85,54.55,611.6031688,2.446091932
4.8,42.95,54.7,612.4395408,2.586187738
4.833333333,42.95,54.75,612.7805665,2.643310977
4.866666667,43.05,54.8,613.3560168,2.739701313
4.9,43,54.9,612.5795296,2.60963645
4.933333333,43.1,54.95,613.2875097,2.728226074
4.966666667,43.1,54.85,613.082978,2.693966157
5,43.15,55,612.0248189,2.51672009
5.033333333,43.15,55.05,612.7686376,2.641312823
5.066666667,43.25,55.1,613.0596236,2.690054206
5.1,43.2,55.15,612.364666,2.573645896
5.133333333,43.4,55.25,613.0367025,2.686214829
5.166666667,43.5,55.25,613.2279635,2.718251841
5.2,43.4,55.3,611.2307386,2.383708315
5.233333333,43.4,55.25,611.5246564,2.432940768
5.266666667,43.4,55.35,612.5457926,2.603985358
5.3,43.5,55.35,612.3917049,2.578175032
5.333333333,43.55,55.35,613.5132181,2.76603319
5.366666667,43.75,55.45,613.8050905,2.814923024
5.4,43.6,55.6,612.3276749,2.567449725
5.433333333,43.55,55.65,611.9250263,2.500004403
5.466666667,43.55,55.55,612.9885006,2.678140803
5.5,43.7,55.65,611.8256875,2.483364747
5.533333333,43.7,55.7,613.6067676,2.781703117
5.566666667,43.65,55.8,613.1095567,2.698418207
5.6,43.8,56,613.8065301,2.815164177
5.633333333,43.8,55.95,612.0721394,2.524646471
5.666666667,43.95,55.9,612.3800636,2.576225059
5.7,44,55.95,612.658543,2.622871528
5.733333333,44.15,56,612.7402985,2.636565907
5.766666667,44.1,56.1,612.2856576,2.56041166
5.8,44.15,56.15,612.6234187,2.616988052
5.833333333,44.05,56.2,612.3074659,2.564064642
5.866666667,44.2,56.2,614.3523523,2.906591683
5.9,44.3,56.25,612.8295719,2.651519574
5.933333333,44.3,56.4,611.4164842,2.414821468
5.966666667,44.35,56.45,612.9564233,2.672767727
6,44.35,56.45,612.5093193,2.597875935
6.033333333,44.35,56.5,613.1678435,2.708181492
6.066666667,44.5,56.5,613.5273976,2.768408316
6.1,44.55,56.6,613.7687552,2.80883671
6.133333333,44.6,56.65,612.2773761,2.559024479
6.166666667,44.7,56.7,612.541228,2.603220765
6.2,44.7,56.7,612.7230044,2.633669074
6.233333333,44.6,56.85,612.2320137,2.551426081
6.266666667,44.65,56.9,613.067687,2.691404862
6.3,44.75,56.95,613.4523444,2.755836577
6.333333333,44.85,56.95,613.3298377,2.735316206
6.366666667,45,57,613.0444254,2.687508449
6.4,44.85,57.05,612.6038615,2.613712143
6.433333333,44.95,57.15,613.1999786,2.713564248
6.466666667,44.9,57.3,613.4387781,2.753564165
6.5,45,57.4,613.0801425,2.693491207
6.533333333,45,57.4,613.2566658,2.72305959
6.566666667,45.05,57.4,613.3577811,2.739996843
6.6,45.1,57.55,613.5593596,2.773762085
6.633333333,44.9,57.55,613.2590794,2.723463886
6.666666667,45.05,57.55,613.9319611,2.836174391
6.7,45.2,57.55,613.3807871,2.743850428
6.733333333,45.1,57.6,613.5338723,2.769492844
6.766666667,45.15,57.65,612.307589,2.564085253
6.8,45.1,57.75,614.518558,2.934431822
6.833333333,45.3,57.65,613.5760544,2.77655853
6.866666667,45.45,57.75,614.114824,2.866804695
6.9,45.5,57.8,614.4600486,2.924631263
6.933333333,45.55,57.85,613.071522,2.692047232
6.966666667,45.7,57.8,613.6294177,2.78549711
7,45.6,57.85,613.8249011,2.818241392
